method,items,trial,bins,lower_bound,optimality_gap,total_ns,evaluated_moves,accepted_moves
Greedy,8,1,6,5,0,64600,0,0
Local search,8,1,6,5,0,553500,104,1
Exact,8,1,6,5,0,111400,9,0
Greedy,8,2,4,4,0,40700,0,0
Local search,8,2,4,4,0,326900,69,1
Exact,8,2,4,4,0,51100,1,0
Greedy,8,3,4,4,0,37200,0,0
Local search,8,3,4,4,0,127400,36,0
Exact,8,3,4,4,0,48900,1,0
Greedy,8,4,4,4,0,36800,0,0
Local search,8,4,4,4,0,240200,69,1
Exact,8,4,4,4,0,46900,1,0
Greedy,8,5,4,4,0,37700,0,0
Local search,8,5,4,4,0,485500,107,3
Exact,8,5,4,4,0,48200,1,0
Greedy,10,1,6,6,0,59100,0,0
Local search,10,1,6,6,0,982500,147,2
Exact,10,1,6,6,0,79700,1,0
Greedy,10,2,7,5,0,60700,0,0
Local search,10,2,7,5,0,911400,218,2
Exact,10,2,7,5,0,96100,7,0
Greedy,10,3,5,4,0,49800,0,0
Local search,10,3,5,4,0,938300,159,2
Exact,10,3,5,4,0,252900,58,0
Greedy,10,4,6,5,0,55300,0,0
Local search,10,4,6,5,0,1091200,237,3
Exact,10,4,6,5,0,127500,18,0
Greedy,10,5,6,5,1,55100,0,0
Local search,10,5,5,5,0,889800,227,4
Exact,10,5,5,5,0,105400,13,0
Greedy,12,1,7,6,1,76100,0,0
Local search,12,1,6,6,0,1790800,385,5
Exact,12,1,6,6,0,130600,21,0
Greedy,12,2,6,5,0,60600,0,0
Local search,12,2,6,5,0,978100,201,2
Exact,12,2,6,5,0,517000,114,0
Greedy,12,3,7,6,0,77800,0,0
Local search,12,3,7,6,0,1875500,417,4
Exact,12,3,7,6,0,117400,9,0
Greedy,12,4,6,5,0,56300,0,0
Local search,12,4,6,5,0,2367300,438,5
Exact,12,4,6,5,0,543500,125,0
Greedy,12,5,7,6,0,62400,0,0
Local search,12,5,7,6,0,1144500,304,2
Exact,12,5,7,6,0,312300,51,0
Greedy,25,1,12,10,-1,213900,0,0
Local search,25,1,12,10,-1,10878100,2704,7
Greedy,25,2,13,12,-1,204800,0,0
Local search,25,2,13,12,-1,9587000,3163,9
Greedy,25,3,11,10,-1,192900,0,0
Local search,25,3,11,10,-1,11429300,3235,9
Greedy,25,4,14,11,-1,196800,0,0
Local search,25,4,13,11,-1,7150600,2381,7
Greedy,25,5,13,12,-1,192900,0,0
Local search,25,5,13,12,-1,5065700,1778,4
Greedy,50,1,25,21,-1,643100,0,0
Local search,50,1,24,21,-1,167702500,42827,31
Greedy,50,2,28,23,-1,808100,0,0
Local search,50,2,28,23,-1,229060400,45707,36
Greedy,50,3,25,22,-1,691000,0,0
Local search,50,3,25,22,-1,223776300,42815,39
Greedy,50,4,24,21,-1,655900,0,0
Local search,50,4,24,21,-1,210534000,42473,40
Greedy,50,5,24,22,-1,764200,0,0
Local search,50,5,24,22,-1,84424100,19015,16
Greedy,100,1,48,44,-1,2093500,0,0
Local search,100,1,48,44,-1,1489896900,319515,86
Greedy,100,2,47,41,-1,2007500,0,0
Local search,100,2,46,41,-1,1900790400,404500,100
Greedy,100,3,49,43,-1,2251500,0,0
Local search,100,3,46,43,-1,1407326200,334088,100
Greedy,100,4,46,41,-1,1985700,0,0
Local search,100,4,45,41,-1,1547007800,349790,84
Greedy,100,5,46,41,-1,2098400,0,0
Local search,100,5,45,41,-1,854150700,191822,46
